Words,WordCounts,File1.txt,File2.txt,File3.txt,File4.txt
000,7,0.0,0.03669836121555507,0.0,0.0
01,5,0.0030993815378414493,0.0033462983697755745,0.015803154175383784,0.0
03,4,0.0,0.0,0.03301159306349412,0.0
05,1,0.004855780099666897,0.0,0.0,0.0
0530,1,0.004855780099666897,0.0,0.0,0.0
10,12,0.00253394749497008,0.010943272737464498,0.02153352340696784,0.005773128932449325
100,4,0.0,0.0033462983697755745,0.005267718058461261,0.00706136542463088
1000,8,0.0,0.041940984246348664,0.0,0.0
1002,1,0.0,0.005242623030793583,0.0,0.0
1007,1,0.0,0.005242623030793583,0.0,0.0
102,1,0.0,0.005242623030793583,0.0,0.0
1021,2,0.0,0.010485246061587166,0.0,0.0
1024,1,0.0,0.005242623030793583,0.0,0.0
1048576,1,0.0,0.005242623030793583,0.0,0.0
107,3,0.0,0.015727869092380747,0.0,0.0
1089,1,0.0,0.0,0.0,0.005531496733583588
11,3,0.0,0.015727869092380747,0.0,0.0
1111,4,0.0,0.0,0.03301159306349412,0.0
112,1,0.0,0.005242623030793583,0.0,0.0
12,6,0.007656705609356882,0.01653337685962116,0.0,0.0
1201,1,0.0,0.0,0.00825289826587353,0.0
12010,4,0.0,0.0,0.03301159306349412,0.0
13,3,0.0,0.015727869092380747,0.0,0.0
133,1,0.0,0.005242623030793583,0.0,0.0
1332,1,0.004855780099666897,0.0,0.0,0.0
134,2,0.0,0.010485246061587166,0.0,0.0
14,4,0.0,0.020970492123174332,0.0,0.0
143,1,0.0,0.005242623030793583,0.0,0.0
146,2,0.0,0.010485246061587166,0.0,0.0
15,3,0.0,0.015727869092380747,0.0,0.0
1500,1,0.0,0.005242623030793583,0.0,0.0
1508,1,0.0,0.0,0.0,0.005531496733583588
153,1,0.004855780099666897,0.0,0.0,0.0
154,7,0.03399046069766828,0.0,0.0,0.0
16,3,0.0,0.015727869092380747,0.0,0.0
1620,1,0.0,0.005242623030793583,0.0,0.0
1660,1,0.0,0.005242623030793583,0.0,0.0
1674,1,0.0,0.005242623030793583,0.0,0.0
17,4,0.003828352804678441,0.012400032644715871,0.0,0.0
178,1,0.0,0.005242623030793583,0.0,0.0
18,3,0.0,0.015727869092380747,0.0,0.0
1800,1,0.0,0.005242623030793583,0.0,0.0
1822,1,0.0,0.005242623030793583,0.0,0.0
1826,1,0.0,0.005242623030793583,0.0,0.0
187,1,0.0,0.005242623030793583,0.0,0.0
1890,1,0.0,0.005242623030793583,0.0,0.0
19,1,0.0,0.005242623030793583,0.0,0.0
1900,1,0.004855780099666897,0.0,0.0,0.0
1911,1,0.0,0.005242623030793583,0.0,0.0
1915,1,0.0,0.005242623030793583,0.0,0.0
1928,2,0.0,0.010485246061587166,0.0,0.0
1931,1,0.004855780099666897,0.0,0.0,0.0
1946,1,0.0,0.005242623030793583,0.0,0.0
1947,1,0.004855780099666897,0.0,0.0,0.0
1951,1,0.004855780099666897,0.0,0.0,0.0
1958,1,0.004855780099666897,0.0,0.0,0.0
1959,1,0.004855780099666897,0.0,0.0,0.0
1961,1,0.004855780099666897,0.0,0.0,0.0
1962,1,0.0,0.005242623030793583,0.0,0.0
1965,2,0.003828352804678441,0.00413334421490529,0.0,0.0
1969,1,0.004855780099666897,0.0,0.0,0.0
1970s,1,0.0,0.005242623030793583,0.0,0.0
1974,3,0.003828352804678441,0.00826668842981058,0.0,0.0
1975,1,0.0,0.005242623030793583,0.0,0.0
1976,1,0.0,0.005242623030793583,0.0,0.0
1978,3,0.01456734029900069,0.0,0.0,0.0
1979,1,0.0,0.005242623030793583,0.0,0.0
1982,2,0.009711560199333794,0.0,0.0,0.0
1983,1,0.0,0.005242623030793583,0.0,0.0
1984,1,0.004855780099666897,0.0,0.0,0.0
1985,4,0.019423120398667587,0.0,0.0,0.0
1986,1,0.004855780099666897,0.0,0.0,0.0
1987,1,0.004855780099666897,0.0,0.0,0.0
1990,2,0.009711560199333794,0.0,0.0,0.0
1990s,2,0.0,0.0,0.0,0.011062993467167177
1991,3,0.01456734029900069,0.0,0.0,0.0
1992,8,0.026798469632749088,0.00413334421490529,0.0,0.0
1993,1,0.004855780099666897,0.0,0.0,0.0
1995,4,0.019423120398667587,0.0,0.0,0.0
1996,12,0.05826936119600276,0.0,0.0,0.0
1997,1,0.004855780099666897,0.0,0.0,0.0
1998,10,0.048557800996668975,0.0,0.0,0.0
1999,3,0.007656705609356882,0.00413334421490529,0.0,0.0
19th,4,0.0,0.012400032644715871,0.0,0.00436109556022462
20,3,0.0,0.00413334421490529,0.0,0.00872219112044924
200,1,0.0,0.005242623030793583,0.0,0.0
2000,6,0.019141764023392203,0.00413334421490529,0.0,0.0
2001,4,0.007656705609356882,0.00826668842981058,0.0,0.0
2002,8,0.026798469632749088,0.00413334421490529,0.0,0.0
2003,2,0.003828352804678441,0.00413334421490529,0.0,0.0
2004,8,0.015313411218713765,0.0,0.0260267191465694,0.0
2005,4,0.0030993815378414493,0.0033462983697755745,0.010535436116922522,0.0
2006,5,0.024278900498334487,0.0,0.0,0.0
2007,5,0.024278900498334487,0.0,0.0,0.0
2008,1,0.004855780099666897,0.0,0.0,0.0
2009,14,0.04976858646081973,0.0,0.00650667978664235,0.0
2010,8,0.026798469632749088,0.00413334421490529,0.0,0.0
2011,11,0.027894433840573045,0.0033462983697755745,0.005267718058461261,0.0
2012,15,0.015313411218713765,0.0,0.07157347765306585,0.0
2013,41,0.05888824921898754,0.0,0.06321261670153513,0.0353068271231544
2014,12,0.03828352804678441,0.00826668842981058,0.0,0.0
